VIN,Plate,Year,Maker,Model,Submodel,CC,Fuel,Transmission,FirstReg,BodyStyle,ListingDate,ListingUrl
,,2017,Holden,Commodore,SS VF2 MY17 MANUAL!!!,6200cc,,Manual,,Sedan,,https://www.trademe.co.nz/a/motors/cars/holden/5770322900
,,1996,Holden,Commodore,Executive,3791cc,,Automatic,,Sedan,,https://www.trademe.co.nz/a/motors/cars/holden/5246960020
,,2013,Holden,Colorado,4X4 LTZ DC PU 2.8 AT,2776cc,,Automatic,,Ute,,https://www.trademe.co.nz/a/motors/cars/holden/5246635139
,,1992,Holden,Commodore,VP Berlina,3791cc,,Automatic,,Sedan,,https://www.trademe.co.nz/a/motors/cars/holden/5813253643
,,2010,Holden,Cruze,CDX 1.8 AT,1796cc,,Automatic,,Sedan,,https://www.trademe.co.nz/a/motors/cars/holden/5231688438
,,2014,Holden,Colorado,"LTZ, 4WD....TIDY ORIGINAL...",2776cc,,Automatic,,Ute,,https://www.trademe.co.nz/a/motors/cars/holden/5228686624
,,2002,Holden,Monaro,Hsv Gto Coupe,5665cc,,Automatic,,Coupe,,https://www.trademe.co.nz/a/motors/cars/holden/5796875212
,,2015,Holden,Cruze,Z-Series 1.8P Auto Sedan,1796cc,,Automatic,,Sedan,,https://www.trademe.co.nz/a/motors/cars/holden/5211638440
,,2017,Holden,Commodore,SV6,3600cc,,Automatic,,Sedan,,https://www.trademe.co.nz/a/motors/cars/holden/5767962931
,,2004,Holden,Ute,S V6,3791cc,,Automatic,,Ute,,https://www.trademe.co.nz/a/motors/cars/holden/5788727124
,,1998,Holden,Commodore,Vt Calais HSV,4987cc,,Automatic,,Sedan,,https://www.trademe.co.nz/a/motors/cars/holden/5778214010
,,2018,Holden,Barina,LS 1.6L HATCH BACK AUTO 5 DO...,1600cc,,Automatic,,Hatchback,,https://www.trademe.co.nz/a/motors/cars/holden/5196441683
,,1992,Holden,SS,VP,4987cc,,,,Sedan,,https://www.trademe.co.nz/a/motors/cars/holden/5774899400
,,2000,Holden,Commodore,HSV VT2 GTS,5737cc,,Manual,,Sedan,,https://www.trademe.co.nz/a/motors/cars/holden/5769632616
,,2015,Holden,Commodore,VF SV6....SERIOUSLY COOL...,3564cc,,Automatic,,Station Wagon,,https://www.trademe.co.nz/a/motors/cars/holden/5188579159
,,2016,Holden,Cruze,EQUIPE SEDAN (FACELIFT) AUTO...,1800cc,,Automatic,,Sedan,,https://www.trademe.co.nz/a/motors/cars/holden/5188350359
,,2009,Holden,Commodore,Clubsport R8,6162cc,,Automatic,,Sedan,,https://www.trademe.co.nz/a/motors/cars/holden/5789224091
,,2015,Holden,Captiva,LTZ 2.2D AWD 7 Seater AUTO...,2231cc,,Automatic,,RV/SUV,,https://www.trademe.co.nz/a/motors/cars/holden/5181741915
,,2014,Holden,Captiva,5 Ltz,2384cc,,Automatic,,RV/SUV,,https://www.trademe.co.nz/a/motors/cars/holden/5808249706
,,2016,Holden,Captiva,LTZ 7 3.0L 4WD 7 SEATER AUT...,3000cc,,Automatic,,RV/SUV,,https://www.trademe.co.nz/a/motors/cars/holden/5436506898
,,1956,Holden,Other,FJ,2200cc,,Manual,,Sedan,,https://www.trademe.co.nz/a/motors/cars/holden/5793486828
,,1961,Holden,Other,EK Special,2600cc,,Manual,,Sedan,,https://www.trademe.co.nz/a/motors/cars/holden/5777950070
,,2000,Holden,Commodore,Vt Hsv Clubsport R8,5737cc,,Automatic,,Sedan,,https://www.trademe.co.nz/a/motors/cars/holden/5806650411
,,2016,Holden,Colorado,Z71 BEASTMODE EXTREME!!,2776cc,,Automatic,,Ute,,https://www.trademe.co.nz/a/motors/cars/holden/5145137811
,,2012,Holden,Colorado,SO OUTRAGEOUS ITS COOL!!,2776cc,,Manual,,Ute,,https://www.trademe.co.nz/a/motors/cars/holden/5670813634
,,2019,Holden,Colorado,"LT DOUBLE CAB, TIDY THROUG...",2776cc,,Automatic,,Ute,,https://www.trademe.co.nz/a/motors/cars/holden/5565570197
,,2016,Holden,Cruze,EQUIPE 1.8P/6AT/SL/4,1796cc,,Automatic,,Sedan,,https://www.trademe.co.nz/a/motors/cars/holden/5131958207
,,1980,Holden,Commodore,VC,3298cc,,Automatic,,Station Wagon,,https://www.trademe.co.nz/a/motors/cars/holden/5790437816
,,2004,Holden,Monaro,V2 Cv8,5665cc,,Automatic,,Coupe,,https://www.trademe.co.nz/a/motors/cars/holden/5790764669
,,1997,Holden,Calais,3.8 Calais,3794cc,,Automatic,,Sedan,,https://www.trademe.co.nz/a/motors/cars/holden/5387985539
,,2017,Holden,Captiva,LT 3.0L 4WD 7 SEATER AUTO 5...,3000cc,,Automatic,,RV/SUV,,https://www.trademe.co.nz/a/motors/cars/holden/5110663995
,,2016,Holden,Commodore,VF2 SV6 WAGON,3564cc,,Automatic,,Station Wagon,,https://www.trademe.co.nz/a/motors/cars/holden/5097613391
,,2009,Holden,Commodore,Sportwgn Omega,3564cc,,Automatic,,Station Wagon,,https://www.trademe.co.nz/a/motors/cars/holden/5788938090
,,2016,Holden,HSV,GTS LSA SUPER CHARGED....NZ NEW!!,6162cc,,Automatic,,Sedan,,https://www.trademe.co.nz/a/motors/cars/holden/5080277992
,,2007,Holden,Commodore,Calais-V V6,3564cc,,Automatic,,Sedan,,https://www.trademe.co.nz/a/motors/cars/holden/5783114760
,,2018,Holden,Commodore,Vxr,3564cc,,Automatic,,Sedan,,https://www.trademe.co.nz/a/motors/cars/holden/5783114317
,,1978,Holden,Statesman,Deville,,,,,Sedan,,https://www.trademe.co.nz/a/motors/cars/holden/5786340190
,,2008,Holden,Commodore,Calais-V V8,5967cc,,Automatic,,Sedan,,https://www.trademe.co.nz/a/motors/cars/holden/5788018325
,,2016,Holden,HSV,Csport R8 Track Sedan,6162cc,,Manual,,Sedan,,https://www.trademe.co.nz/a/motors/cars/holden/5808210363
,,2017,Holden,HSV,Csport R8 Track Edition,6162cc,,Automatic,,Sedan,,https://www.trademe.co.nz/a/motors/cars/holden/5814198389
,,2020,Holden,Equinox,Ltz,1998cc,,Automatic,,RV/SUV,,https://www.trademe.co.nz/a/motors/cars/holden/5796285515
,,2001,Holden,Ute,Ss V8,5737cc,,Automatic,,Ute,,https://www.trademe.co.nz/a/motors/cars/holden/5789906500
,,2007,Holden,Caprice,V8,5967cc,,Automatic,,Sedan,,https://www.trademe.co.nz/a/motors/cars/holden/5783093712
,,2013,Holden,Captiva,Sx,2231cc,,Automatic,,RV/SUV,,https://www.trademe.co.nz/a/motors/cars/holden/5774588472
,,2002,Holden,Monaro,HSV GTO Coupe,5700cc,,Automatic,,Coupe,,https://www.trademe.co.nz/a/motors/cars/holden/4992043862
,,1980,Holden,Kingswood,Ute,3300cc,,,,Ute,,https://www.trademe.co.nz/a/motors/cars/holden/5815076249
,,2013,Holden,Commodore,Z-Series V6,2997cc,,Automatic,,Sedan,,https://www.trademe.co.nz/a/motors/cars/holden/5645113270
,,2001,Holden,Vectra,Gl,2198cc,,Automatic,,Sedan,,https://www.trademe.co.nz/a/motors/cars/holden/5800908193
,,2011,Holden,HSV,CLUBSPORT R8....MANUAL....LOW KMS,6162cc,,Manual,,Sedan,,https://www.trademe.co.nz/a/motors/cars/holden/4962737015
,,2005,Holden,Ute,V6,3565cc,,Automatic,,Ute,,https://www.trademe.co.nz/a/motors/cars/holden/5786419284
,,2019,Holden,Trailblazer,LTZ BEAST-MODE EXTREME!!,2776cc,,Automatic,,RV/SUV,,https://www.trademe.co.nz/a/motors/cars/holden/4954037557
,,2003,Holden,Commodore,S V6,3791cc,,Manual,,Sedan,,https://www.trademe.co.nz/a/motors/cars/holden/5804097799
,,2017,Holden,Commodore,VFII Utility,3600cc,,Automatic,,Ute,,https://www.trademe.co.nz/a/motors/cars/holden/5803257647
,,2008,Holden,Ute,Ss,5967cc,,Automatic,,Ute,,https://www.trademe.co.nz/a/motors/cars/holden/5805412298
,,2014,Holden,Barina,RS HATCHBACK (NZ NEW) AUTO 1...,1400cc,,Automatic,,Hatchback,,https://www.trademe.co.nz/a/motors/cars/holden/4907665948
,,1989,Holden,Commodore,Berlina,2000cc,,Automatic,,Sedan,,https://www.trademe.co.nz/a/motors/cars/holden/5786541209
,,2013,Holden,Cruze,SRI V SDN 1.4T AT,1364cc,,Automatic,,Sedan,,https://www.trademe.co.nz/a/motors/cars/holden/4866841997
,,1978,Holden,Kingswood,Kingswood,3300cc,,,,Ute,,https://www.trademe.co.nz/a/motors/cars/holden/5808162407
,,1996,Holden,Commodore,Vs Calais,4987cc,,Automatic,,Sedan,,https://www.trademe.co.nz/a/motors/cars/holden/5769721800
,,1983,Holden,Kingswood,Kingswood,5000cc,,Automatic,,Ute,,https://www.trademe.co.nz/a/motors/cars/holden/5795412369
,,2007,Holden,Commodore,Commodore,3564cc,,Automatic,,Sedan,,https://www.trademe.co.nz/a/motors/cars/holden/5768494864
,,2004,Holden,Ute,Ss V8,5665cc,,Manual,,Ute,,https://www.trademe.co.nz/a/motors/cars/holden/5783108244
,,2008,Holden,Commodore,Omega,3564cc,,Automatic,,Sedan,,https://www.trademe.co.nz/a/motors/cars/holden/5774031724
,,2015,Holden,Captiva,5 LT 2.2D/4WD/6AT/SW,2231cc,,Automatic,,RV/SUV,,https://www.trademe.co.nz/a/motors/cars/holden/4669664251
,,2011,Holden,HSV,Clubsport R8,6162cc,,Automatic,,Sedan,,https://www.trademe.co.nz/a/motors/cars/holden/5772926437
,,2003,Holden,Ute,Ss V8,5665cc,,Manual,,Ute,,https://www.trademe.co.nz/a/motors/cars/holden/5815016442
,,2018,Holden,Commodore,RS....HOT LOOKER,2000cc,,Automatic,,Sedan,,https://www.trademe.co.nz/a/motors/cars/holden/4651303172
,,2017,Holden,Cruze,EQUIPE 1.8P/6AT/SL/4,1796cc,,Automatic,,Sedan,,https://www.trademe.co.nz/a/motors/cars/holden/5086422311
,,2002,Holden,Commodore,Hsv Clubsport,5737cc,,Automatic,,Sedan,,https://www.trademe.co.nz/a/motors/cars/holden/5815865851
,,1998,Holden,Commodore,Vt Berl,4987cc,,Automatic,,Station Wagon,,https://www.trademe.co.nz/a/motors/cars/holden/5810401273
,,2003,Holden,Commodore,Calais V6 S/C,3791cc,,Automatic,,Sedan,,https://www.trademe.co.nz/a/motors/cars/holden/5791250637
,,1991,Holden,Commodore,Commodore,3791cc,,Automatic,,Sedan,,https://www.trademe.co.nz/a/motors/cars/holden/5779814643
,,2006,Holden,Commodore,Hsv Clubsport,6000cc,,Automatic,,Sedan,,https://www.trademe.co.nz/a/motors/cars/holden/5787932698
,,2004,Holden,Crewman,Ss V8,5665cc,,Automatic,,Ute,,https://www.trademe.co.nz/a/motors/cars/holden/5773787549
,,2020,Holden,Astra,R,1399cc,,Automatic,,Hatchback,,https://www.trademe.co.nz/a/motors/cars/holden/5773690796
,,2019,Holden,Commodore,LT WAGON 2.0PT/9AT,1998cc,,Automatic,,Station Wagon,,https://www.trademe.co.nz/a/motors/cars/holden/4556744679
,,2018,Holden,Colorado,LS DC PU 2.8D/6AT,2776cc,,Automatic,,Ute,,https://www.trademe.co.nz/a/motors/cars/holden/4544881472
,,1983,Holden,Gemini,Gemini,2000cc,,Manual,,Sedan,,https://www.trademe.co.nz/a/motors/cars/holden/5816222534
,,2012,Holden,Captiva,7 SX 2WD DSL AT,2231cc,,Automatic,,RV/SUV,,https://www.trademe.co.nz/a/motors/cars/holden/4425552365
,,1996,Holden,Commodore,Vs Hsv Gtsr,5737cc,,Manual,,Sedan,,https://www.trademe.co.nz/a/motors/cars/holden/5808178004
,,1974,Holden,Kingswood,Belmont,6276cc,,Automatic,,Sedan,,https://www.trademe.co.nz/a/motors/cars/holden/5801681081
,,2016,Holden,Commodore,VFII Evoke,3000cc,,Automatic,,Sedan,,https://www.trademe.co.nz/a/motors/cars/holden/5803257710
,,2019,Holden,Acadia,LTZ AWD 7 SEATER (NZ NEW) AU...,3649cc,,Automatic,,RV/SUV,,https://www.trademe.co.nz/a/motors/cars/holden/4782604447
,,2020,Holden,Trailblazer,Ltz,2776cc,,Automatic,,RV/SUV,,https://www.trademe.co.nz/a/motors/cars/holden/5808323415
,,1980,Holden,Commodore,VB and 1vk,,,Manual,,Station Wagon,,https://www.trademe.co.nz/a/motors/cars/holden/5815078054
,,2018,Holden,Colorado,LTZ DC 2.8DT/6MT,2776cc,,Manual,,Ute,,https://www.trademe.co.nz/a/motors/cars/holden/4215790381
,,2005,Holden,Commodore,VZ SS UTE,5665cc,,Automatic,,Ute,,https://www.trademe.co.nz/a/motors/cars/holden/4201968719
,,2016,Holden,Commodore,VF2 SV6 3.6P/6AT/SL,3564cc,,Automatic,,Sedan,,https://www.trademe.co.nz/a/motors/cars/holden/4199807172
,,2014,Holden,Colorado,4X4 LTZ DC PU 2.8 MT,2776cc,,Automatic,,Station Wagon,,https://www.trademe.co.nz/a/motors/cars/holden/4193911025
,,1953,Holden,Other,FJ 1953 Special 1970's Hot Rod,3333cc,,Manual,,Sedan,,https://www.trademe.co.nz/a/motors/cars/holden/5799555297
,,2015,Holden,SS-V,Holden Commodore Vf 2 SS-VRedline,6162cc,,Automatic,,Sedan,,https://www.trademe.co.nz/a/motors/cars/holden/5793424989
,,2007,Holden,Commodore,CALAIS-V SEDAN V8 AT,5967cc,,Automatic,,Sedan,,https://www.trademe.co.nz/a/motors/cars/holden/3852194812
,,2013,Holden,Cruze,CDX SDN 1.8 AT,1796cc,,Automatic,,Sedan,,https://www.trademe.co.nz/a/motors/cars/holden/3804041314
,,1975,Holden,Other,One Tonner v8,5735cc,,Automatic,,Ute,,https://www.trademe.co.nz/a/motors/cars/holden/3795341303
,,1982,Holden,Statesman,Deville Wb,5044cc,,,,Sedan,,https://www.trademe.co.nz/a/motors/cars/holden/5788146405
,,2019,Holden,Colorado,LTZ 4WD D/CAB (NZ NEW) AUT...,2800cc,,Automatic,,Ute,,https://www.trademe.co.nz/a/motors/cars/holden/3751183296
,,2017,Holden,Commodore,GTSR W1,6200cc,,Manual,,Sedan,,https://www.trademe.co.nz/a/motors/cars/holden/5797013436
,,2005,Holden,Monaro,V2 Cv8,5665cc,,Automatic,,Coupe,,https://www.trademe.co.nz/a/motors/cars/holden/5779160398
,,2006,Holden,Commodore,CALAIS SEDAN V6 AUTO,3564cc,,Automatic,,Sedan,,https://www.trademe.co.nz/a/motors/cars/holden/3440150040
,,2004,Holden,Commodore,VY HSV Clubsport R8- 285,5737cc,,Automatic,,Sedan,,https://www.trademe.co.nz/a/motors/cars/holden/5816883895
,,2012,Holden,Captiva,7 SX 2WD DSL 2.2 AT,2231cc,,Automatic,,RV/SUV,,https://www.trademe.co.nz/a/motors/cars/holden/3370690525
,,2017,Holden,Colorado,Ltz Dc Pu,2776cc,,Automatic,,Ute,,https://www.trademe.co.nz/a/motors/cars/holden/5818929671
,,2008,Holden,HSV,Signature,5967cc,,Automatic,,Sedan,,https://www.trademe.co.nz/a/motors/cars/holden/5815813272
,,2011,Holden,Cruze,SRI-V 1.4 TURBO AT,1364cc,,Automatic,,Sedan,,https://www.trademe.co.nz/a/motors/cars/holden/3322876531
,,2013,Holden,Captiva,7 CX AWD 2.2D AT,2231cc,,Automatic,,RV/SUV,,https://www.trademe.co.nz/a/motors/cars/holden/3224826624
,,2010,Holden,Ute,Ssv,5967cc,,Automatic,,Ute,,https://www.trademe.co.nz/a/motors/cars/holden/5767817231
,,2017,Holden,Commodore,Vf2 Ss-V Redline,6162cc,,Automatic,,Sedan,,https://www.trademe.co.nz/a/motors/cars/holden/5780243525
,,2011,Holden,Cruze,CDX DIESEL AUTO,1991cc,,Automatic,,Sedan,,https://www.trademe.co.nz/a/motors/cars/holden/4313335665
SADCA2AXXLA633092,,2020,Jaguar,F-PACE,300 Sport 2.0 Petrol 4WD,1997cc,,Automatic,NZ New,RV/SUV,Listed today,https://www.trademe.co.nz/a/motors/cars/jaguar/5818939230
SADFA2AX0L1009122,,2020,Jaguar,E-PACE,P250 Chequered Flag,1998cc,,Automatic,NZ New,RV/SUV,,https://www.trademe.co.nz/a/motors/cars/jaguar/5818897359
SADCA2AN8HA890578,,2017,Jaguar,F-PACE,F-PACE,1990cc,,Automatic,,RV/SUV,Listed yesterday,https://www.trademe.co.nz/a/motors/cars/jaguar/5817686064
SAJKC02N75JN34429,,2005,Jaguar,S-Type,S-Type,2490cc,,Automatic,Imported,Sedan,,https://www.trademe.co.nz/a/motors/cars/jaguar/5817643918
SADFA2AX9P1037717,,2023,Jaguar,E-PACE,P250 AWD R-Dynamic SE,1998cc,,Automatic,NZ New,RV/SUV,Listed yesterday,https://www.trademe.co.nz/a/motors/cars/jaguar/5817574517
KNABA24339T735541,,2013,Jaguar,XJ,XJ,3000cc,,Automatic,NZ New,Sedan,Listed yesterday,https://www.trademe.co.nz/a/motors/cars/jaguar/5817563817
SuccessFeeRefunds,,2016,Jaguar,XE,20t Prestige - BLACK PACKAGE,1999cc,,Automatic,,Sedan,Listed yesterday,https://www.trademe.co.nz/a/motors/cars/jaguar/5817137714
SAJAC41JX1PA15807,,2001,Jaguar,XKR,8 Xk8 40S/C 5Sa Ht,3996cc,,Automatic,NZ New,Coupe,,https://www.trademe.co.nz/a/motors/cars/jaguar/5816906457
SADFA2AN8K1Z55000,,2019,Jaguar,E-PACE,E-180,2000cc,,Automatic,,RV/SUV,Listed within the last 7 days,https://www.trademe.co.nz/a/motors/cars/jaguar/5815967358
SADCA2AX4RA721824,,2023,Jaguar,F-PACE,P250 R-Dynamic SE,1997cc,,Automatic,NZ New,RV/SUV,Listed within the last 7 days,https://www.trademe.co.nz/a/motors/cars/jaguar/5815120994
SADCA2AV5JA297492,,2018,Jaguar,F-PACE,F-PACE,2994cc,,Automatic,Imported,Hatchback,Listed within the last 7 days,https://www.trademe.co.nz/a/motors/cars/jaguar/5815106223
SAJAC12P4ALV02085,,2010,Jaguar,XJ,long wheel base,,,,NZ New,Sedan,,https://www.trademe.co.nz/a/motors/cars/jaguar/5813923575
SAJAC0549DNS91664,,2013,Jaguar,XF,LUXURY V6 D AUTO,3000cc,,Automatic,Imported,Sedan,Listed within the last 7 days,https://www.trademe.co.nz/a/motors/cars/jaguar/5813824175
SAJAC0561CDS59829,,2013,Jaguar,XF,2.2D / 8A / LUXURY,2179cc,,Automatic,NZ New,Sedan,Listed within the last 7 days,https://www.trademe.co.nz/a/motors/cars/jaguar/5813797794
SuccessFeeRefunds,,2015,Jaguar,XE,20t / 2.0T PETROL / 8A,2000cc,,Automatic,Imported,Sedan,Listed within the last 7 days,https://www.trademe.co.nz/a/motors/cars/jaguar/5813772524
SAJAC0546ENU24625,,2014,Jaguar,XF,LUXURY V6 D AUTO,2993cc,,Automatic,Imported,Sedan,Listed within the last 7 days,https://www.trademe.co.nz/a/motors/cars/jaguar/5813542352
SADCA2AX9NA693741,,2022,Jaguar,F-PACE,P250 R-Dynamic Se,1997cc,,Automatic,NZ New,RV/SUV,Listed within the last 7 days,https://www.trademe.co.nz/a/motors/cars/jaguar/5812002600
7A8990M0700956601,,1970,Jaguar,E Type,E Type,4200cc,,,NZ New,Coupe,Listed within the last 7 days,https://www.trademe.co.nz/a/motors/cars/jaguar/5811938682
SuccessFeeRefunds,and,1969,Jaguar,MK2,MK2,2483cc,,Automatic,NZ New,Sedan,,https://www.trademe.co.nz/a/motors/cars/jaguar/5811465027
SAJKG51S97YJ23858,,2007,Jaguar,X-Type,X-Type,2090cc,,Automatic,Imported,Sedan,,https://www.trademe.co.nz/a/motors/cars/jaguar/5811457373
SAJAC03D921M52411,,2002,Jaguar,S-Type,V8 Sp Ap,4196cc,,Automatic,NZ New,Sedan,,https://www.trademe.co.nz/a/motors/cars/jaguar/5811457042
SAJAC66K5EMK05709,,2014,Jaguar,F-Type,S V8 Cabriolet,5000cc,,Automatic,Imported,Convertible,Listed within the last 7 days,https://www.trademe.co.nz/a/motors/cars/jaguar/5811361452
7AT0990MX21433143,is,1973,Jaguar,E Type,V12,5343cc,,,NZ New,Coupe,,https://www.trademe.co.nz/a/motors/cars/jaguar/5810532216
SAJAC054XANR71004,,2010,Jaguar,XF,XF,2993cc,,Automatic,NZ New,Sedan,Listed within the last 7 days,https://www.trademe.co.nz/a/motors/cars/jaguar/5810359129
SAJJFAMG3BJ809236,,1997,Jaguar,XJ6,LWB,3239cc,,Automatic,Imported,Sedan,Listed within the last 7 days,https://www.trademe.co.nz/a/motors/cars/jaguar/5810310796
SAJJGKED3AR002399,,1996,Jaguar,XK8,XK8,5700cc,,,Imported,Coupe,Listed within the last 7 days,https://www.trademe.co.nz/a/motors/cars/jaguar/5810188902
7AT0990MX23554260,,1974,Jaguar,E Type,V12,5342cc,,Automatic,Imported,Coupe,Listed within the last 7 days,https://www.trademe.co.nz/a/motors/cars/jaguar/5809926830
SAJKC73L67TH13965,,2006,Jaguar,XJR,XJR,4190cc,,Automatic,Imported,Sedan,Listed within the last 7 days,https://www.trademe.co.nz/a/motors/cars/jaguar/5809830576
SADHA2A19K1F71249,,2019,Jaguar,I-PACE,Ev400 Hse,1cc,,Automatic,Imported,RV/SUV,,https://www.trademe.co.nz/a/motors/cars/jaguar/5808816250
,,2019,Jaguar,F-Type,300Ps R-Dynamic Rwd,1997cc,,Automatic,,Convertible,,https://www.trademe.co.nz/a/motors/cars/jaguar/5808808210
,,2011,Jaguar,XJ,XJ,4990cc,,Automatic,,Sedan,,https://www.trademe.co.nz/a/motors/cars/jaguar/5808572159
,,1970,Jaguar,XJ6,XJ6,4235cc,,,,Sedan,,https://www.trademe.co.nz/a/motors/cars/jaguar/5808570563
,,2016,Jaguar,XF,Full leather 360 Camera,1990cc,,Automatic,,Sedan,,https://www.trademe.co.nz/a/motors/cars/jaguar/5807339601
,,1995,Jaguar,XJ6,X300,3200cc,,,,Sedan,,https://www.trademe.co.nz/a/motors/cars/jaguar/5807276462
,,1962,Jaguar,MK2,MK2,3400cc,,Manual,,Sedan,,https://www.trademe.co.nz/a/motors/cars/jaguar/5806990934
,,1995,Jaguar,Sovereign,Sovereign,3980cc,,Automatic,,Sedan,,https://www.trademe.co.nz/a/motors/cars/jaguar/5806805494
,,2017,Jaguar,F-PACE,25D PRESTIGE STUNNER .. NZ NEW,2000cc,,Automatic,,RV/SUV,,https://www.trademe.co.nz/a/motors/cars/jaguar/5806487941
,,2013,Jaguar,XF,"2.2D LUXURY .. NZ NEW, LOW KMS",2179cc,,Automatic,,Sedan,,https://www.trademe.co.nz/a/motors/cars/jaguar/5806487937
,,2014,Jaguar,F-Type,F-Type,5000cc,,Automatic,,Coupe,,https://www.trademe.co.nz/a/motors/cars/jaguar/5806047482
,,2013,Jaguar,XF,2.0L Gtdi,1999cc,,Automatic,,Sedan,,https://www.trademe.co.nz/a/motors/cars/jaguar/5805538968
,,2007,Jaguar,XJ8,EXECUTIVE,4190cc,,Automatic,,Sedan,,https://www.trademe.co.nz/a/motors/cars/jaguar/5805341942
,,1996,Jaguar,XK8,XK8,4000cc,,Automatic,,Convertible,,https://www.trademe.co.nz/a/motors/cars/jaguar/5805293904
,,2017,Jaguar,XF,Prestige,2000cc,,Automatic,,Sedan,,https://www.trademe.co.nz/a/motors/cars/jaguar/5805251085
,,2001,Jaguar,S-Type,S-Type,3990cc,,Automatic,,Sedan,,https://www.trademe.co.nz/a/motors/cars/jaguar/5805158864
,,1948,Jaguar,Other,1 1/2 litre ' Mark IV ' Saloon,1750cc,,Manual,,Sedan,,https://www.trademe.co.nz/a/motors/cars/jaguar/5805107897
,,1992,Jaguar,XJS,XJS,5340cc,,Automatic,,Convertible,,https://www.trademe.co.nz/a/motors/cars/jaguar/5804781746
,,2012,Jaguar,XF,XF,2960cc,,Automatic,,Sedan,,https://www.trademe.co.nz/a/motors/cars/jaguar/5804731154
,,1956,Jaguar,Other,Mark 1 race car,3442cc,,Manual,,Sedan,,https://www.trademe.co.nz/a/motors/cars/jaguar/5804160294
,,2015,Jaguar,XE,2.0T Prestige,2000cc,,Automatic,,Sedan,,https://www.trademe.co.nz/a/motors/cars/jaguar/5803974769
,,2019,Jaguar,XF,2.0L Prestige,2000cc,,Automatic,,Sedan,,https://www.trademe.co.nz/a/motors/cars/jaguar/5803907848
,,2022,Jaguar,F-PACE,Svr,5000cc,,Automatic,,RV/SUV,,https://www.trademe.co.nz/a/motors/cars/jaguar/5803735374
,,2017,Jaguar,F-PACE,20D R-Sport NZ New,1999cc,,Automatic,,RV/SUV,,https://www.trademe.co.nz/a/motors/cars/jaguar/5803518798
,,2013,Jaguar,XF,2.2 Diesel Facelift Black Edition,2200cc,,Automatic,,Sedan,,https://www.trademe.co.nz/a/motors/cars/jaguar/5803454688
,,2022,Jaguar,F-PACE,D300 R-Dynamic HSE,2996cc,,Automatic,,RV/SUV,,https://www.trademe.co.nz/a/motors/cars/jaguar/5803337170
,,1987,Jaguar,XJS,XJS V12,5343cc,,Automatic,,Coupe,,https://www.trademe.co.nz/a/motors/cars/jaguar/5800617344
,,2006,Jaguar,XK,4.2 V8 Convertible,4200cc,,Automatic,,Convertible,,https://www.trademe.co.nz/a/motors/cars/jaguar/5800392019
,,2007,Jaguar,X-Type,X-Type,2099cc,,Automatic,,Sedan,,https://www.trademe.co.nz/a/motors/cars/jaguar/5800308432
,,2024,Jaguar,E-PACE,P250 R-Dynamic,1997cc,,Automatic,,RV/SUV,,https://www.trademe.co.nz/a/motors/cars/jaguar/5800155395
,,2011,Jaguar,XKR,l 5.0 Supercharged l 510 HP,5000cc,,Automatic,,Coupe,,https://www.trademe.co.nz/a/motors/cars/jaguar/5800155270
,,2025,Jaguar,F-PACE,P250 90TH Anniversary,1997cc,,Automatic,,RV/SUV,,https://www.trademe.co.nz/a/motors/cars/jaguar/5800155240
,,2011,Jaguar,XF,3.0 Premium Luxury,3000cc,,Automatic,,Sedan,,https://www.trademe.co.nz/a/motors/cars/jaguar/5800090753
,,2025,Jaguar,E-PACE,P250 R-Dynamic SE 2 184kW,,,Automatic,,RV/SUV,,https://www.trademe.co.nz/a/motors/cars/jaguar/5800038743
,,2014,Jaguar,XK,Rs,5000cc,,,,Coupe,,https://www.trademe.co.nz/a/motors/cars/jaguar/5799742874
,,2005,Jaguar,S-Type,S-Type,2967cc,,Automatic,,Sedan,,https://www.trademe.co.nz/a/motors/cars/jaguar/5799614401
,,2017,Jaguar,F-PACE,S MODEL,3000cc,,Automatic,,RV/SUV,,https://www.trademe.co.nz/a/motors/cars/jaguar/5798319735
,,2013,Jaguar,XF,S Luxury V6 Auto,2993cc,,,,Sedan,,https://www.trademe.co.nz/a/motors/cars/jaguar/5797938095
,,2012,Jaguar,XF,FACELIFT / 3.0 PREMIUM LUXURY,2960cc,,Automatic,,Sedan,,https://www.trademe.co.nz/a/motors/cars/jaguar/5796870895
,,2016,Jaguar,XF,20D Prestige,1999cc,,Automatic,,Sedan,,https://www.trademe.co.nz/a/motors/cars/jaguar/5796366936
,,1998,Jaguar,XJ8,XJ8,3996cc,,Automatic,,Sedan,,https://www.trademe.co.nz/a/motors/cars/jaguar/5796302661
,,2016,Jaguar,XE,"25t R-Sport -- GENUINE LOW 52,50...",1999cc,,Automatic,,Sedan,,https://www.trademe.co.nz/a/motors/cars/jaguar/5795249271
,,1970,Jaguar,Other,Mk10 420g,4200cc,,Automatic,,Sedan,,https://www.trademe.co.nz/a/motors/cars/jaguar/5794980512
,,2014,Jaguar,F-Type,S 3.0 V6 SUPERCHARGED,2990cc,,Automatic,,Convertible,,https://www.trademe.co.nz/a/motors/cars/jaguar/5794903135
,,2018,Jaguar,F-Type,P300 DYNAMIC,2000cc,,Automatic,,Coupe,,https://www.trademe.co.nz/a/motors/cars/jaguar/5793857532
,,2016,Jaguar,F-Type,R SUPERCHARGED V8,5000cc,,Automatic,,Coupe,,https://www.trademe.co.nz/a/motors/cars/jaguar/5817574119
