VIN,Plate,Year,Maker,Model,Submodel,CC,Fuel,Transmission,FirstReg,BodyStyle,ListingDate,ListingUrl
,,2010,Aston Martin,Rapide,6.0 V12 4 Door,6000cc,,Automatic,,Coupe,,https://www.trademe.co.nz/a/motors/cars/aston-martin/5192272095
,,2025,Aston Martin,Vantage,Coupe,3982cc,,Automatic,,Coupe,,https://www.trademe.co.nz/a/motors/cars/aston-martin/5165915200
,,2024,Aston Martin,DB12,Coupe,3982cc,,Automatic,,Coupe,,https://www.trademe.co.nz/a/motors/cars/aston-martin/4704798501
,,1996,Aston Martin,DB7,I6 Supercharged Coupe,3200cc,,Automatic,,Coupe,,https://www.trademe.co.nz/a/motors/cars/aston-martin/4265954014
WAUZZZ4M8KD040110,,2019,Audi,Q7,SQ7 Quattro,3956cc,,Automatic,NZ New,RV/SUV,Listed today,https://www.trademe.co.nz/a/motors/cars/audi/5819030359
WAUZZZ8PX8A017569,,2007,Audi,A3,Tdi Sp,1968cc,,Automatic,NZ New,Hatchback,,https://www.trademe.co.nz/a/motors/cars/audi/5819026138
WAUZZZFU4SN120107,,2026,Audi,A5,Avant e-hybrid S-line 220kW quattro,1984cc,,Tiptronic,NZ New,Station Wagon,Listed today,https://www.trademe.co.nz/a/motors/cars/audi/5819017507
WAUZZZ8T2FA024591,,2014,Audi,S5,Sportback,2990cc,,Automatic,Imported,Sedan,Listed today,https://www.trademe.co.nz/a/motors/cars/audi/5818989191
WAUZZZ4M6LD003039,,2020,Audi,Q7,50 Tdi Quattro 3.0 TD 210KW + Towbar,2967cc,,Automatic,NZ New,RV/SUV,Listed today,https://www.trademe.co.nz/a/motors/cars/audi/5818939199
WAUZZZ8X2BB057291,,2011,Audi,A1,A1,1380cc,,Automatic,Imported,Hatchback,Listed today,https://www.trademe.co.nz/a/motors/cars/audi/5818937593
WAUZZZF16KD018710,,2019,Audi,Q8,Q8,2967cc,,Automatic,NZ New,RV/SUV,,https://www.trademe.co.nz/a/motors/cars/audi/5818796684
WAUZZZ8U8HR046284,,2017,Audi,Q3,Q3 2.0 Tfsi Q 132 Kw NZ new,1984cc,,Automatic,NZ New,RV/SUV,Listed yesterday,https://www.trademe.co.nz/a/motors/cars/audi/5818152158
